statement,status
diagnose severe chronic depresion young age ilnes morph unmanageable mes schizophrenia paranoia bpd things live absolutely hel road destroy bridges outlets burn pis truly proper conversation years know comunicate anymore sure say mean anymore everyday tel worthles stupid waste hilarious calm emotional zero self estem leave day perpetualy fel form positive atitude things hold god life understand distract noise music video games fans leak faucet internal things hear bulshit people talking laughing eyes hate fucking hate make want cry think real world posibly case stupid reason think medicine pain away ops wrong medicine try ops fel beter worse hm couple months forth medication start work actualy take yes ops let try shal mean want anymore medication thing fel beter lok know fel take meds pointles people brains behave normaly normal meds rest life able outside normal hapy person want sory like come try go everyday new old thing try fil life material things fil space inside leave problem know find proper thing replace replica lose try find fit make wonder lose piece hunt isue come hide bury far reach real thing find want find scared want come know know anymore point have friends pleasant point leave apartment enjoy outside care people think think negatively try worth years try complete life god give things people hurt potential waste dors slam viciously oportunities face emotions drown delusions sufer person care world give give tired tired ages fel like live thousand life times die thousand completely diferent person know think think know things fel finish understand il understand,Depression
ned validation ve post subredit oficialy diagnose bipolar go md unspecified mod disorder year bg  colege sophomore time go therapy march year start lamictal december grow mental ilnes thing parents se doctor pdoc basicaly ve learn mental ilnes treatment think  reach burnout lamictal great focus isues il adres adhd vivid memories slep pre schol nap time instead lift bed mats legs ve hear mom treatment diagnose kid journey incredibly dificult especialy concere adhd ve improve drasticaly freshman year debilitate depresive episode end gpa progres adhd friday go adhd scren testing schol psych services ofice  require schol insurance anyways discouraging experience tel woman ve focus isues homework isues long remember tel exactly thoughts like clas horible slep quality dificulties get work etc talk recent development mod disorder tel think describe relate isues scope recomend doctor semester long waitlist psychological testing nt insurance semester deal adhd met profesor wek asignments get acomodations clases register disability services case clases semester strugle screning  strugle test tomorow morning study mention esay asignment nt workbok pages test ask extension paper clas night write ve mis metings work friday night try find coke sunday night take shots monday buy aderal take ve take aderal stay bed thought try tackle imense work overwhelming know take diagnosis like say fel burn doctors episodes self destructive behaviour family help father threaten pay tuition find take meds refuse tel rest invalidate know figure ned find tired have chest literaly hurt  curl bed dark crying  sory long ve chance resource talk stuf honestly  let  desperate reasurance validation,Bipolar
couple days wek ago mental state start waver habit botle things incredibly ashamed functional useful partner know episodes come try best comfort give reality check care ashamed low useles coincidence decide stay entire night restart bio clock night owls eventual fact end wake pm take care packing preparations university morning make night embarasing panic atack crowded open market boyfriend amazing handle mes help bit mod son go phone sibling break end lech refuse tel bf wrong get iritated try play ches overal try best make woried backfire horendously bf end get sick misery say try work drain start get angry spiral harder think right botle share problems damage se throw chesboard trash snap self harm wep apologies se nuisance want fling balcony kind things years old girl live th flor die clean mes corpse blod want building jump th flor want walk clean mes quote bf right unfortunately make spiral harder fel like defected tol eradicate try find suitable cleaning group bf ned clean mes end jump ultimatum leave bedrom sight clean breakup confused upset say ned care ned clean mes end nights restart bioclock failure bf burn entirely fault unecesary drama sit fight head shame guilt try kil know problems nuisances burdens ned eradicate include bf hapy constantly cry try kil myselfi sure break blame desperately ned functional hard work gf eradicate god contain failures burdens spread bflong story short shity depresive gf bother bf mac pretentious suicide atempt fel like logics hole curently ned perspectives stupid suicide atempt self harm tired partner,Suicidal
brat midle schol want play games run grades terible sidekick lok popular kids acept day change chemistry clas learn atoms intrigued sudenly snap longer brat reserved fel conscious aware things heck study go graduate high schol clas longer person ambitious high schol want scientist enginer work nasa amazing projects progres high schol life slowly start go downhil depresed suicidali aphantasia imagine things lot harder come studies reason life ruin fact care thati real friends general anxiety puberty fuck as realize life fair mean imagine hard high scholer peak youth hair hyperhidrosis bunch things fun have excesive body hair mind hair new beast entirely dream fel expose anxious hear make fun cast supose steal youth get existential bear equal die equaly tel god life randomnes draw awful straw waste shot life god quickly absurdist cynical nihilist depresion tear apart night think suicide hopeful study university entrance exam daily fail choice spectacularly realize choices mater wake earlier study midle schol get beter high schol math heavy pas fail exam finaly got acept study physics love physics think fail shater confidence start okay fel like od clas mainly end goal suicide rom great ambitions focus clases anxiety go lectures die semester pas work load goal suicide obvious lack motivation drop parents subject mental torture come months awful slep schedule bed phone overthinke despair fal aslepnowadays shut net wait oportunity die thoughts change forget get job live diferent life life want overcome gues big want empathy kil ages ago thanks read long boring post life ambition dead end,Depression
progres learn live progres anxiety ve anxiety years young remember afraid have phobias germs get sick heights flying drive certain fods etc constantly scare child eventualy go colege slowly learn live anxiety try new things slowly come shel hit come head go major divorce live covid constant fear diagnose pcos move country heaviest august lose lbs months afraid eat basicaly cry single day nt eat refuse emetophobia strong barely everyday er multiple times have procedures ct scans find wrong finaly decide ned medication talk psychiatrist time fel like failure nt break fear horor fod therapy nt help afraid fod eat bite day prescribe medication efects rise apetite nt work fel defeated exhausted higher dose weks fel hungry cravings fel like finaly eat famished finaly eat piece piza chese lok god nt eat september decide start go gym scared minutes times wek weak lose muscle starve october go gym time hour go fre weights discourage watch youtube videos start build workouts walk mile pain eat calorie day nt afraid november eat restaurant time months nachos delicious nt afraid colonoscopy find ibs colitis finaly answers stomach pains december big christmas diner partner romate eat meal lift gym times wek january travel state plane eat everyday enrol schol masters february workout days wek walk miles single day body routine chronic ilneses eat focused healthy diet everyday days hard days anxiety days stomach hurt flare ups randomly bad day times beter ones focus positive try afraid anymore remember nt hurt il okay tomorow wish best luck journey recovery,Anxiety
know begin fel like fel complicated understand hard explain felings read exactly identify felings lot times fel true joy kind joy fel alive vibrant think lose kind joy th grade freshman year high schol graduate senior fel way like necesarily sad fel ok fel like funy girl light jokes personality like fel completely alive fel completely like gues like fel truly hapy confused fel hapy honest maybe completely hapy confusing actualy fel hapines artificial col moments fel type hapines like fel people bond people like fel robotic conversation emotion lol sadnes glomy disposition linger mind maybe long hard identify long fel bouts anxiousnes maybe anxiety apart lingering depths mind reach barely identify point life scared il like long time simply know want exist know  like rest life fel doubt life young get world discover hope hope il change il great things experience great things woried woried diferent things diferent periods life like new anxieties simultaneously fel sense uneasines inhabit mind gues anymore life lok grey gues gues lok like long fel od bring like true normal long fel like ned mental help fel stupid fel maybe wrong make realize truly probably wrong thought stay like forever make want exist anymore come realization imediately know right remember talk nurse fel brush simply personality fel wrong hope wrong hope stay like forever personality fel like like know think ad prozac end freshman year think sumer senior year btw maybe help come love hear advice overal experience mes fel alive like helps thank lt fel like long,Depression
hard time make friends trauma fearful people long remember label smart prety quiet inocent girl behave pious get trouble get cal super weird stick vast majority social interactions social life life come internet get unsupervised aces ipod touch years old know lead especialy young girl dangerous depraved people take advantage online trauma experience line switch shave head stop wear gain pounds wear masculine clothes realize retrospectmost closest friends ofline life bulies years old life threaten extremely humiliating situations claim love plus have pandemic withdraw drugs give snap mindset condition acept people love hurt tolerance hurt extreme point thinking abuse count adult responsibility help heal longer dream day swop rescue therapy years old mental hospitals try multiple medications spend days lay bed scrol internet consume ungodly information se things wish crushes live miles away clingy anxiety ocd rof push away romantic relationships online abusive leak therapist time say son wory chuckle end healthy relationship days ago bc handle distance anymore make fel like fucking loser friends family able heal shit fact surface sense people sufer make fel literaly teacher tel understand depresed prety smart cry clas turn things best subject multiple educators adults similar thing explain mentaly il you articulate potential know depresed strugle bed push explain suicidal go therapy meds bright try litle harder straight tel special education teachers schol counselors preach mental healthmaybe point bet agre ugly dumb come poverty parents drug adicts educated maybe stfu times wish things maybe sufering take seriouslyokay pity party life ahead like delete tonight fel disapointed potential,Suicidal
hi men iv strugle depresion remember years beter worse years definitely get worse finaly admit depresion friends family believe funy wiling help reason act like hapy wish sufer days ago break boyfriend fel like drag change met years ago notorious quarels alcoholism shyt god fel like cage escape days move think change monthly income smal althou minimum country pay apartment leave fod basic neds month ago open work acident met fantastic person very similar hobies listen heavy metal play guitar vocalist band get inpiration buy guitar start scream shower fry scream kind metal scream consider yels bring relief second month think learn start lose atention like go drop force althou love strugle find hoby lose interest easily bad get bore quickly want vocalist biologist programist write boks therapist yup mental disorders etc help ned help like gaming save early  think thas depresive games take thoughts long years spot play friends find new jobs gfs move countries rarely speak outside job yeaterday search new heavy metal songs popular monster fal reverse pop hit hard iv cry stop help suicidal thoughts kind yes think like nice die acident mind hope fel pain life big pain az man life pointles idea people depresed wonder force live day  work wish think cure non work love hobies party wekend long eventualy get blury repetitive boring quote popular monster wake morning head dazeim sure fuck anywayeverybody try tel go phasei know phase want fel okay yeahi hope beter think positives posible aid abit know people fel want tel story,Depression
ned help hi ned help pointers wrong fix mu curent life short info fuck girl get pregant kep kid iniciade child custody court ugly court batle son years lives mother high perform job future lok bright work hours weks son sick backlog work insane work take seriously batles head like nt know long able job go way able job  people pleasere fuck schedule daily basis work por fuck money go court batele bil bil wife nt pay welfare tax payers pay court creditcard debt pay money go bils son car loan debt nt sel car travel hour way son daycare mother rent curent apartment able save month  lucky fel life fuck completely uterly fuck life light anymore hapy life god kids court maniac mother kid long old day life enjoy curent times speak couple therapists know fast ad diagnises tests dream run car fast wal pain stop tought life hard idea uterly awfuly painful existence like run scenario mnd times day long course wo nt son etc wish car crash kil spot etc thougth strong man  weak try remidate felings friends loved ones load women work etc fel god satisfy curently fel satisfying schedule lok like son wake son day care home work son day care home time son fod playing gof etc pm pm work days son palce tend hours traning day god fods rest aswel like wekends lok wake pm work sparetime work work help short time  gym nt drugs alcohol thing plus get loads alcoholism family nt want way tips,Depression
hi thank take time read postas english native tongue best clear concise posibleabout months ago celebrate st birthday day wake fel sort fatigue think wory decide slep day fel begin anxious go system diseases world verge die try fix relative computer use trackpad think go crazy hard describe panic atack heart race begin weirdly fel disconected mind take min finaly calm explain go relatives sugest healthcare profesionali prescribe series blod tests come fine bad cholesterol smidge high seroquel worst thing morning wake fel like zombie constant vertigo fatigue horible switch zoloft take mg fatigue vertigo headaches muscle pain go away fel anxious day manageable farnow deal hard describe problem fel like event normal afraid remember normal like fel like lose control crazy like control fel edge able continue control hard describe sory fel like like conect world know eyes fel like like body liei reasearch lok cal depersonalisation derealisation redit post explain fel have existential questions like hapen death body bear america universe universe live die option live universe multi verses higher dimensions milimeters big biger universe like ant log tomorow big black hole distant galaxy swalow disturb galaxy way existence jeopardy have dep thought provoking philosophical questionsi fel like live borow time way fel like day learn die son eager time period fel like time flies everyday step closer death mater far away isam feling like condition fel doctor evaluate external psychiatrist think able diagnose knowledgedaily living chalenge ned help thank fel like disconect reality body like live life rd person,Depression
take shower glorious begining december strugle couple manic episodes month go notice spike anxiety holidays able handle xanax prescription negative experience father holidays anxiety increase january handle develop blow paranoia somewhat convince watch especialy strip wods house time german shepherd let guard dog bark dor lose shit ned grocery store early morning late night virtualy turn aisle se person overcome sense uncomfortable dread wait hiding se leave aisle last january shamefuly shower maybe times begining december end january kep hair tie brush go shower shower maybe january midle go hair tie kep get tangle fianc cut hair try unwrap bun unwind ask lok shock tel hair completely knot luckily able untangle have scisors let tel detangler brush layer knots underneath hair ruthles hand cramp eyes tear couple times get unfortunately past wek half shower brush hair results far fianc have cut hair tie unknot hair shower heavenly get shampo super lathery scrub inch scalp let dep conditioner sit wash body able second wash rinse conditioner medicated body wash body acne chest uper arms products hair totaly believe exfoliate face neck super moisturizing mask normal skincare routine go manic episode night able shower ready early actualy time best friend maid honor come mom save dates adres ready finaly send se supose end december early january hours worth ned cleaning declutering fel acomplished refresh time litle invalidated likely goten manic hair soft skin glow save dates finaly hopefuly apointment psychiatrist tuesday road get mods emotions manageable level read hope have wonderful day know ilnes,Bipolar
know describe situation hear beter time heal think positive lok laugh hang mind like othersi believe kind crazy prety hopeles tbh lose tbh lok victim atention seker try blunt honest scared real things fake things rationalampirational things things hapen hapen hapen hapen hapen hapen etc scenarios head literaly blue random as scenarios thing know depresed hel blow panic atack drugs fact scared meds kind like conspiracy theory like oh guna med fix temp fix problem later find cause cancer organ failure crazy right live life able person stare make fun absurd grown as adult stop leave house shits anxiety scared fuck job ptsd awful abusivein way childhod literaly childhod divorce person life fault detail ned want die want cary pain hurt new ongoing divorce straw break camels want live talk help kind dom people try helpful inspirational help hate help wish know help sek medical care sek meds etc come think try meds life numerous mental health profesionals se voluntarily go mental facility sure meds help get right come know shut lok know maybe let idk maybe realize idk mis wife neverfacts love promise mary mariage want bles nd chance want mariage time thing faultnd time say knowand hurt know mistakes late lok beter mod feling have bom beter lose lbs try lose weight numerous ways awhile hardly eat necesity barely bed heart beat get funky trip idk friends suport want know separate lie ask wife dude hurt bad depresed leave bigest fear think hapen friend idk depresion suicide post longer intend,Suicidal
helo  year old male extreme anxiety grow poverty amp wa aware young age start smoke wed wekend turn everyday wa got introduce xanax didn  long come home black amp realize pain amp disapointment cause mother wa introduce acid turn wekend month year dad pas long time  use begining mental destruction couldn  aford bury father roughest time life start sel drug get money hungry amp dolar start rob kid schol turn rob older guy start party amp got introduce cocaine didn  long girlfriend tel mom know wa way stop month later amp girlfriend get acident lady pay atention girlfriend break femur broken ankle amp tbi traumatic brian injury time recovery wa take shower break house amp steal safe roughly  cash point  amp mentaly lose go schol future sight broken ankle tbi didn  best friend check wa rough point realize improve stop sel robing cost leave house last roughly year time covid hit older brother extreme alcoholic mother alow fuly consume reality hit morning daily regret amp suicidal think everyday come conclusion way force amp girlfriend end move town time extreme anxiety amp depresion start landscaping company go dor dor find work imagine avoid human contact year last sumer hapiest time life extreme anxiety hand shake uncontrolably shakey voice amp anxiety amp past avoid go doctor medicine dentist amp check ups finaly longer let control dark day amp endles thought se light end tunel unimaginable damn sure god god time heal ha time worse embrace rainy day win  forever stick kinda ramble  sure help,Depression
world honestly dark place fil narcisistic people hate hate smile laughter people care family people empathize pain overal depresion people honestly drag dip hole dig honestly hole fot  stand mother family people hate reason supose  hate world ha give way people self invest empathy fuly replace narcisism talk stres mom know doe don  like talk family tel mom wory friend mental health seriously human treat like type animal planet minor autism schizo schizophrenic schizo litle diferent people think diferently hapy funy guy wa younger get older people get meaner get sad wa treat diferently random people tel hate don  like schol didn  know admit wa litle wal wa mental isue people give hate world strong strong honestly believe deserve beter fuck hateful intolerant world want peace paradise type beter afterlife world go end son deserve biter end don  kil world end  chaos destruction deserve bring hate destruction home earth big hapy family reality earth big dysfunctional toxic family family kil  bigest enemy family ha lose  moral time family ha litle love hate world right wrong wrong right point human garbage earth don  recycle  treasure  throw forget  liter leave blow wind pick day forget end hate world bigest cause depresion  know depresion end world go doe end end way depresion long world  forget like piece garbage  piece junk treasure lately severely depresed depresed long long long time want people know world eat alive  acept junk treasure world dark hateful place idk  light day dark place wish best dark lonely world lot  treasure junk,Depression
tired wait beterit actualy worth sufer experience god momentsevery time fel like go fight itanother thing come weighs mei truly hapyim obses loksi understand people pretier tryingand contemplate pretier hate myselfone single insult capable make break understand human find prety fel like person think lok certain way se thati help obsesedi scared future judge past self mad post certain things able diferent perspectivei wish love life family lonely love fel like try build relationship personand care lives noti experience true lovei wish fel worthy fel worthlesi fel worthles know pretier people people admire meor find pretywhy find pretyi spend day think apearance hide live iti understand post think cute moment son month go start hate like trust myselfi trust decisionso rely people diferently myselfi rely actualy corect want yetand drive crazyi impatient want girl dream becomingbut presure myselfit fun ride watch grow glow hate let live eventualy lead suces maybe path lead dream life sure go hapen noti want live planet earthi want hard kil myselfi want live grateful blesings handle things hurt hurtsid fel awarenes aware want aware aware hapy unable acept fel unworthy love believe truly love person prety col hate behave alsowhy hot girl people lok toi want hot want wait years want experience true love solve problems love lok validation people know know know mean words hurt lot like scared insult time stres actualy hapen unfair believe prety god extreme mod swings feling want die come go away come end  fel have life helples actualy get beter fal,Suicidal
apologize long post recognize beter  ventit time like voice head tel kil actual voice hear voices fel redundant pointles yeah depresion therapist colege close sek earlier sumer kep get anxiety scheduling apointments try get sumer job take way longer hope want schedule therapy conflict work schedule wait til work schedule setle orientation anxious things work freze wait lexapro incredibly helpful year ago fel like maybe diferent time day late day wilpower bed days wake earlier pm maybe take long enoughi fel like totaly lose live want die want live life depresed times fel genuinely hapy depresed realize rare fel genuinely hapy things hapy friends crush warhamer ocasional tv enjoy best make fel awful energy things enjoy bring joy anymoreit point spend far wise warhamer minis thing aces want kil modeling things joy build hands creative pursuit throw stuf diferent kits story write energy patience wilpower painting anymore end shades greyi wear depresing world point hardly bear anymore people work hard barely pitance pasionate area study game design job market competitive unlikely find work industry consider gap year drop entirely friends things fel like stay mention crush consider change major mean debt pasionate subjects semester ask try relationship obstacle fear intimacy pandemic fear intimacy depresion conduct relationship fel like unfair partner prospect wait let leave life nearly bleaktldr dreams atainable job market competitive world pay shit relationship girl dreams go walk reach know wal supose fight tired tired time want die want live world depresing apart mental ilnes brain tel kil minutes,Suicidal
